id,name,country,latitude,longitude,precision,verification_status,source,source_id,notes
place-saint-germain-en-laye-fr,Saint-Germain-en-Laye,France,48.8989,2.0938,locality,automatically_matched,https://www.openstreetmap.org/?mlat=48.8989&mlon=2.0938#map=11/48.8989/2.0938,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-versailles-fr,Versailles,France,48.8049,2.1204,locality,automatically_matched,https://www.openstreetmap.org/?mlat=48.8049&mlon=2.1204#map=11/48.8049/2.1204,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-moscow-ru,Moscow,Russia,55.7558,37.6173,locality,automatically_matched,https://www.openstreetmap.org/?mlat=55.7558&mlon=37.6173#map=11/55.7558/37.6173,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-saint-petersburg-ru,Saint Petersburg,Russia,59.9311,30.3609,locality,automatically_matched,https://www.openstreetmap.org/?mlat=59.9311&mlon=30.3609#map=11/59.9311/30.3609,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-szczecin-pl,Szczecin,Poland,53.4285,14.5528,locality,automatically_matched,https://www.openstreetmap.org/?mlat=53.4285&mlon=14.5528#map=11/53.4285/14.5528,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-tsarskoye-selo-ru,Tsarskoye Selo,Russia,59.7175,30.3958,locality,automatically_matched,https://www.openstreetmap.org/?mlat=59.7175&mlon=30.3958#map=11/59.7175/30.3958,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-caprese-michelangelo-it,Caprese Michelangelo,Italy,43.6402,11.9856,locality,automatically_matched,https://www.openstreetmap.org/?mlat=43.6402&mlon=11.9856#map=11/43.6402/11.9856,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-rome-it,Rome,Italy,41.9028,12.4964,locality,automatically_matched,https://www.openstreetmap.org/?mlat=41.9028&mlon=12.4964#map=11/41.9028/12.4964,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-urbino-it,Urbino,Italy,43.7263,12.6363,locality,automatically_matched,https://www.openstreetmap.org/?mlat=43.7263&mlon=12.6363#map=11/43.7263/12.6363,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-florence-it,Florence,Italy,43.7696,11.2558,locality,automatically_matched,https://www.openstreetmap.org/?mlat=43.7696&mlon=11.2558#map=11/43.7696/11.2558,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-caracas-ve,Caracas,Venezuela,10.4806,-66.9036,locality,automatically_matched,https://www.openstreetmap.org/?mlat=10.4806&mlon=-66.9036#map=11/10.4806/-66.9036,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-santa-marta-co,Santa Marta,Colombia,11.2408,-74.199,locality,automatically_matched,https://www.openstreetmap.org/?mlat=11.2408&mlon=-74.199#map=11/11.2408/-74.199,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-yapeyu-ar,Yapeyú,Argentina,-29.4697,-56.818,locality,automatically_matched,https://www.openstreetmap.org/?mlat=-29.4697&mlon=-56.818#map=11/-29.4697/-56.818,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-boulogne-sur-mer-fr,Boulogne-sur-Mer,France,50.7252,1.6133,locality,automatically_matched,https://www.openstreetmap.org/?mlat=50.7252&mlon=1.6133#map=11/50.7252/1.6133,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-los-toldos-ar,Los Toldos,Argentina,-35.0,-61.0333,locality,automatically_matched,https://www.openstreetmap.org/?mlat=-35.0&mlon=-61.0333#map=11/-35.0/-61.0333,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-buenos-aires-ar,Buenos Aires,Argentina,-34.6037,-58.3816,locality,automatically_matched,https://www.openstreetmap.org/?mlat=-34.6037&mlon=-58.3816#map=11/-34.6037/-58.3816,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-mvezo-za,Mvezo,South Africa,-31.95,28.52,locality,automatically_matched,https://www.openstreetmap.org/?mlat=-31.95&mlon=28.52#map=11/-31.95/28.52,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-johannesburg-za,Johannesburg,South Africa,-26.2041,28.0473,locality,automatically_matched,https://www.openstreetmap.org/?mlat=-26.2041&mlon=28.0473#map=11/-26.2041/28.0473,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-ejersa-goro-et,Ejersa Goro,Ethiopia,9.4833,41.85,locality,automatically_matched,https://www.openstreetmap.org/?mlat=9.4833&mlon=41.85#map=11/9.4833/41.85,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-addis-ababa-et,Addis Ababa,Ethiopia,8.9806,38.7578,locality,automatically_matched,https://www.openstreetmap.org/?mlat=8.9806&mlon=38.7578#map=11/8.9806/38.7578,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-alexandria-eg,Alexandria,Egypt,31.2001,29.9187,locality,automatically_matched,https://www.openstreetmap.org/?mlat=31.2001&mlon=29.9187#map=11/31.2001/29.9187,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-umerkot-pk,Umerkot,Pakistan,25.3616,69.7362,locality,automatically_matched,https://www.openstreetmap.org/?mlat=25.3616&mlon=69.7362#map=11/25.3616/69.7362,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-agra-in,Agra,India,27.1767,78.0081,locality,automatically_matched,https://www.openstreetmap.org/?mlat=27.1767&mlon=78.0081#map=11/27.1767/78.0081,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-cuiheng-cn,Cuiheng,China,22.4496,113.526,locality,automatically_matched,https://www.openstreetmap.org/?mlat=22.4496&mlon=113.526#map=11/22.4496/113.526,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-beijing-cn,Beijing,China,39.9042,116.4074,locality,automatically_matched,https://www.openstreetmap.org/?mlat=39.9042&mlon=116.4074#map=11/39.9042/116.4074,,Coordinate selected for game use; review the marker in Data manager before final publication.
